t	x	y	z	vx	vy	vz	xstart	ystart	zstart	roihinit	roiwinit	roixinit	roiyinit	imgw	imgh	fov	goaldiv	t0	t1	t2	t3	tlanded	nreinits	phistart	thetastart	psistart
49.504589	-0.485603	-0.537985	5.267633	0.213979	0.152200	-0.356167
49.536831	-0.478502	-0.532934	5.255472	0.215946	0.153593	-0.377739
49.570049	-0.471113	-0.527679	5.242404	0.218262	0.155249	-0.387329
49.602291	-0.463864	-0.522523	5.229500	0.220471	0.156841	-0.395335
49.635509	-0.456322	-0.517157	5.215901	0.222718	0.158472	-0.401822
49.667747	-0.448924	-0.511892	5.202689	0.225189	0.160264	-0.395912
49.700966	-0.441210	-0.506402	5.189526	0.228099	0.162353	-0.375617
49.732231	-0.433856	-0.501168	5.177898	0.230944	0.164373	-0.351476
49.764473	-0.426177	-0.495702	5.166760	0.233963	0.166499	-0.321960
49.797691	-0.418155	-0.489994	5.156515	0.237373	0.168882	-0.279079
49.829929	-0.410254	-0.484374	5.148189	0.240984	0.171391	-0.224387
49.862171	-0.402232	-0.478670	5.141737	0.244491	0.173815	-0.169713
49.895390	-0.393851	-0.472712	5.136925	0.247977	0.176226	-0.113247
49.927631	-0.385604	-0.466853	5.134094	0.251121	0.178416	-0.061735
49.959873	-0.377263	-0.460927	5.132748	0.253725	0.180255	-0.023573
49.994068	-0.368328	-0.454579	5.132588	0.256241	0.182076	0.014794
50.026306	-0.359822	-0.448534	5.133829	0.258731	0.183914	0.061208
50.057571	-0.351496	-0.442614	5.136559	0.261015	0.185615	0.106155
50.090790	-0.342577	-0.436270	5.140821	0.262969	0.187085	0.140745
50.124008	-0.333600	-0.429882	5.145992	0.264385	0.188175	0.159768
50.155273	-0.325117	-0.423843	5.151205	0.265209	0.188854	0.163136
50.188492	-0.316083	-0.417408	5.156597	0.265552	0.189215	0.151475
50.220730	-0.307312	-0.411156	5.161206	0.265394	0.189225	0.125949
50.253948	-0.298290	-0.404721	5.164828	0.264759	0.188902	0.085557
50.287167	-0.289292	-0.398299	5.166996	0.264028	0.188511	0.044914
50.319408	-0.280583	-0.392079	5.167832	0.263259	0.188077	0.005316
50.351650	-0.271900	-0.385874	5.167339	0.262518	0.187640	-0.032195
50.383888	-0.263236	-0.379680	5.165809	0.262095	0.187399	-0.057139
50.417107	-0.254318	-0.373303	5.163642	0.262067	0.187403	-0.067206
50.449348	-0.245656	-0.367109	5.161467	0.262427	0.187648	-0.062077
50.482567	-0.236713	-0.360715	5.159660	0.263170	0.188139	-0.042045
50.513832	-0.228271	-0.354680	5.158669	0.263865	0.188591	-0.022108
